flights,departure_lat,departure_lng,arrival_lat,arrival_lng,year,node_dc,urban_group
2714,28.196667,113.220833,18.302891,109.412201,2015,0.510345,none
2705,18.302891,109.412201,28.196667,113.220833,2015,0.335632,none
2701,36.857208,117.215897,29.71921,106.641602,2015,0.390805,none
2698,29.71921,106.641602,36.857208,117.215897,2015,0.696552,none
2684,30.57852,103.946999,34.519669,113.840797,2015,0.721839,none
2677,25.101944,102.929169,25.647097,100.320711,2015,0.641379,none
2676,34.519669,113.840797,30.57852,103.946999,2015,0.478161,none
2674,43.996208,125.685303,31.742041,118.862,2015,0.264368,none
2662,31.742041,118.862,43.996208,125.685303,2015,0.43908,yrd
2639,31.196099,121.339766,25.935061,119.6632,2015,0.358621,yrd
2633,25.935061,119.6632,31.196099,121.339766,2015,0.374713,none
2633,36.266102,120.374397,34.438157,108.764819,2015,0.445977,none
2629,34.438157,108.764819,36.266102,120.374397,2015,0.770115,none
2595,25.101944,102.929169,24.939379,98.482025,2015,0.641379,none
2593,40.084152,116.592735,31.14337,121.805199,2015,0.887356,bth
2592,38.96566,121.538597,39.124352,117.3461,2015,0.441379,none
2592,39.124352,117.3461,38.96566,121.538597,2015,0.572414,bth
2582,39.124352,117.3461,22.63925,113.8106,2015,0.572414,bth
2580,31.14337,121.805199,40.084152,116.592735,2015,0.772414,yrd
2575,22.63925,113.8106,39.124352,117.3461,2015,0.63908,prd
2552,43.996208,125.685303,36.266102,120.374397,2015,0.264368,none
2546,27.91222,120.851898,40.084152,116.592735,2015,0.324138,none
2543,22.608259,108.172401,25.101944,102.929169,2015,0.4,none
2541,36.266102,120.374397,43.996208,125.685303,2015,0.445977,none
2537,40.084152,116.592735,27.91222,120.851898,2015,0.887356,bth
2536,23.392429,113.298698,36.266102,120.374397,2015,0.675862,prd
2531,36.266102,120.374397,23.392429,113.298698,2015,0.445977,none
2529,31.196099,121.339766,26.538521,106.800697,2015,0.358621,yrd
2524,25.935061,119.6632,23.392429,113.298698,2015,0.374713,none
2523,23.392429,113.298698,41.639839,123.483398,2015,0.675862,prd
2519,41.639839,123.483398,23.392429,113.298698,2015,0.445977,none
2514,31.196099,121.339766,37.746891,112.628403,2015,0.358621,yrd
2513,31.492889,120.424377,23.392429,113.298698,2015,0.186207,yrd
2509,23.392429,113.298698,25.935061,119.6632,2015,0.675862,prd
2506,30.2295,120.434402,38.96566,121.538597,2015,0.602299,yrd
2505,49.209334,119.830223,40.853503,111.826381,2015,0.14023,none
2498,40.853503,111.826381,49.209334,119.830223,2015,0.337931,none
2492,29.71921,106.641602,39.124352,117.3461,2015,0.696552,none
2488,39.124352,117.3461,29.71921,106.641602,2015,0.572414,bth
2487,25.101944,102.929169,22.608259,108.172401,2015,0.641379,none
2486,23.392429,113.298698,31.492889,120.424377,2015,0.675862,prd
2484,31.492889,120.424377,22.63925,113.8106,2015,0.186207,yrd
2483,37.746891,112.628403,31.196099,121.339766,2015,0.328736,none
2478,22.63925,113.8106,31.492889,120.424377,2015,0.63908,prd
2473,28.865,115.900002,23.392429,113.298698,2015,0.324138,none
2463,25.935061,119.6632,31.14337,121.805199,2015,0.374713,none
2463,31.14337,121.805199,25.935061,119.6632,2015,0.772414,yrd
2461,38.96566,121.538597,30.2295,120.434402,2015,0.441379,none
2458,23.392429,113.298698,31.14337,121.805199,2015,0.675862,prd
2457,40.084152,116.592735,22.00666,113.376297,2015,0.887356,bth
2454,22.00666,113.376297,40.084152,116.592735,2015,0.289655,prd
2453,26.538521,106.800697,31.196099,121.339766,2015,0.471264,none
2444,31.14337,121.805199,23.392429,113.298698,2015,0.772414,yrd
2438,23.392429,113.298698,28.865,115.900002,2015,0.675862,prd
2425,25.101944,102.929169,24.544029,118.127701,2015,0.641379,none
2420,24.544029,118.127701,25.101944,102.929169,2015,0.436782,none
